code,date,close
510050.SH,2025-05-12,2.763
510050.SH,2025-05-13,2.769
510050.SH,2025-05-14,2.817
510050.SH,2025-05-15,2.803
510050.SH,2025-05-16,2.778
510050.SH,2025-05-19,2.769
510050.SH,2025-05-20,2.78
510050.SH,2025-05-21,2.793
510050.SH,2025-05-22,2.796
510050.SH,2025-05-23,2.775
510050.SH,2025-05-26,2.764
510050.SH,2025-05-27,2.75
510050.SH,2025-05-28,2.747
510050.SH,2025-05-29,2.754
510050.SH,2025-05-30,2.749
510050.SH,2025-06-03,2.748
510050.SH,2025-06-04,2.755
510050.SH,2025-06-05,2.754
510050.SH,2025-06-06,2.756
510050.SH,2025-06-09,2.756
510050.SH,2025-06-10,2.742
510050.SH,2025-06-11,2.762
510050.SH,2025-06-12,2.76
510050.SH,2025-06-13,2.746
510050.SH,2025-06-16,2.753
510050.SH,2025-06-17,2.753
510050.SH,2025-06-18,2.75
510050.SH,2025-06-19,2.733
510050.SH,2025-06-20,2.749
510050.SH,2025-06-23,2.762
510050.SH,2025-06-24,2.792
510050.SH,2025-06-25,2.832
510050.SH,2025-06-26,2.826
510050.SH,2025-06-27,2.795
510050.SH,2025-06-30,2.807
510050.SH,2025-07-01,2.81
510050.SH,2025-07-02,2.816
510050.SH,2025-07-03,2.82
510050.SH,2025-07-04,2.836
510050.SH,2025-07-07,2.828
510050.SH,2025-07-08,2.845
510050.SH,2025-07-09,2.842
510050.SH,2025-07-10,2.858
510050.SH,2025-07-11,2.871
510050.SH,2025-07-14,2.869
510050.SH,2025-07-15,2.855
510050.SH,2025-07-16,2.85
510050.SH,2025-07-17,2.859
510050.SH,2025-07-18,2.884
510050.SH,2025-07-21,2.89
510050.SH,2025-07-22,2.914
510050.SH,2025-07-23,2.921
510050.SH,2025-07-24,2.933
510050.SH,2025-07-25,2.916
510050.SH,2025-07-28,2.929
510050.SH,2025-07-29,2.934
510050.SH,2025-07-30,2.943
510050.SH,2025-07-31,2.899
510050.SH,2025-08-01,2.876
510050.SH,2025-08-04,2.89
510050.SH,2025-08-05,2.912
510050.SH,2025-08-06,2.918
510050.SH,2025-08-07,2.921
510050.SH,2025-08-08,2.91
510050.SH,2025-08-11,2.912
510050.SH,2025-08-12,2.932
510050.SH,2025-08-13,2.94
510050.SH,2025-08-14,2.954
510050.SH,2025-08-15,2.965
510050.SH,2025-08-18,2.971
510050.SH,2025-08-19,2.937
510050.SH,2025-08-20,2.975
510050.SH,2025-08-21,2.99
510050.SH,2025-08-22,3.066
510050.SH,2025-08-25,3.124
510050.SH,2025-08-26,3.101
510050.SH,2025-08-27,3.051
510050.SH,2025-08-28,3.095
510050.SH,2025-08-29,3.112
510050.SH,2025-09-01,3.113
510050.SH,2025-09-02,3.128
510050.SH,2025-09-03,3.087
510050.SH,2025-09-04,3.034
510050.SH,2025-09-05,3.072
510050.SH,2025-09-08,3.067
510050.SH,2025-09-09,3.059
510050.SH,2025-09-10,3.072
510050.SH,2025-09-11,3.122
510050.SH,2025-09-12,3.104
510050.SH,2025-09-15,3.097
510050.SH,2025-09-16,3.082
510050.SH,2025-09-17,3.088
510050.SH,2025-09-18,3.048
510050.SH,2025-09-19,3.045
510050.SH,2025-09-22,3.054
510050.SH,2025-09-23,3.054
510050.SH,2025-09-24,3.072
510050.SH,2025-09-25,3.087
510050.SH,2025-09-26,3.077
510050.SH,2025-09-29,3.109
510050.SH,2025-09-30,3.126
510050.SH,2025-10-09,3.161
510050.SH,2025-10-10,3.112
510050.SH,2025-10-13,3.101
510050.SH,2025-10-14,3.1
510050.SH,2025-10-15,3.138
510050.SH,2025-10-16,3.159
510050.SH,2025-10-17,3.11
510050.SH,2025-10-20,3.111
510050.SH,2025-10-21,3.144
510050.SH,2025-10-22,3.148
510050.SH,2025-10-23,3.167
510050.SH,2025-10-24,3.192
510050.SH,2025-10-27,3.216
510050.SH,2025-10-28,3.196
510050.SH,2025-10-29,3.21
510050.SH,2025-10-30,3.193
510050.SH,2025-10-31,3.16
510050.SH,2025-11-03,3.161
510050.SH,2025-11-04,3.156
510050.SH,2025-11-05,3.15
510050.SH,2025-11-06,3.19
510050.SH,2025-11-07,3.186
510050.SH,2025-11-10,3.201
510050.SH,2025-11-11,3.18
510050.SH,2025-11-12,3.197
510050.SH,2025-11-13,3.221
510050.SH,2025-11-14,3.183
510050.SH,2025-11-17,3.159
510050.SH,2025-11-18,3.15
510050.SH,2025-11-19,3.165
510050.SH,2025-11-20,3.156
510050.SH,2025-11-21,3.101
510050.SH,2025-11-24,3.094
510050.SH,2025-11-25,3.11
510050.SH,2025-11-26,3.114
510050.SH,2025-11-27,3.112
510050.SH,2025-11-28,3.113
510050.SH,2025-12-01,3.137
510050.SH,2025-12-02,3.122
510050.SH,2025-12-03,3.108
510050.SH,2025-12-04,3.116
510050.SH,2025-12-05,3.145
510050.SH,2025-12-08,3.164
510050.SH,2025-12-09,3.142
510050.SH,2025-12-10,3.132
510050.SH,2025-12-11,3.12
510050.SH,2025-12-12,3.134
510050.SH,2025-12-15,3.133
510050.SH,2025-12-16,3.103
510050.SH,2025-12-17,3.058
510050.SH,2025-12-18,3.064
510050.SH,2025-12-19,3.078
510050.SH,2025-12-22,3.092
510050.SH,2025-12-23,3.098
510050.SH,2025-12-24,3.099
510050.SH,2025-12-25,3.107
510050.SH,2025-12-26,3.12
510050.SH,2025-12-29,3.109
510050.SH,2025-12-30,3.108
510050.SH,2025-12-31,3.105
510050.SH,2026-01-05,3.174
510050.SH,2026-01-06,3.235
510050.SH,2026-01-07,3.22
510050.SH,2026-01-08,3.198
510050.SH,2026-01-09,3.209
510050.SH,2026-01-12,3.218
510050.SH,2026-01-13,3.214
510050.SH,2026-01-14,3.187
510050.SH,2026-01-15,3.18
510050.SH,2026-01-16,3.16
510050.SH,2026-01-19,3.153
510050.SH,2026-01-20,3.15
510050.SH,2026-01-21,3.145
510050.SH,2026-01-22,3.131
510050.SH,2026-01-23,3.106
510050.SH,2026-01-26,3.129
510050.SH,2026-01-27,3.131
510050.SH,2026-01-28,3.138
510050.SH,2026-01-29,3.196
510050.SH,2026-01-30,3.147
510050.SH,2026-02-02,3.08
510050.SH,2026-02-03,3.108
510050.SH,2026-02-04,3.147
510050.SH,2026-02-05,3.137
510050.SH,2026-02-06,3.115
510050.SH,2026-02-09,3.161
510050.SH,2026-02-10,3.17
510050.SH,2026-02-11,3.17
510050.SH,2026-02-12,3.161
510050.SH,2026-02-13,3.114
510050.SH,2026-02-24,3.119
510050.SH,2026-02-25,3.134
510050.SH,2026-02-26,3.115
510050.SH,2026-02-27,3.123
510050.SH,2026-03-02,3.125
510050.SH,2026-03-03,3.096
510050.SH,2026-03-04,3.051
510050.SH,2026-03-05,3.066
510050.SH,2026-03-06,3.068
510050.SH,2026-03-09,3.041
510050.SH,2026-03-10,3.06
510050.SH,2026-03-11,3.062
510050.SH,2026-03-12,3.047
510050.SH,2026-03-13,3.035
510050.SH,2026-03-16,3.028
510050.SH,2026-03-17,3.039
510050.SH,2026-03-18,3.035
510050.SH,2026-03-19,2.993
510050.SH,2026-03-20,2.957
510050.SH,2026-03-23,2.868
510050.SH,2026-03-24,2.9
510050.SH,2026-03-25,2.93
510050.SH,2026-03-26,2.897
510050.SH,2026-03-27,2.909
510050.SH,2026-03-30,2.905
510050.SH,2026-03-31,2.902
510050.SH,2026-04-01,2.951
510050.SH,2026-04-02,2.926
510050.SH,2026-04-03,2.901
510050.SH,2026-04-07,2.9
510050.SH,2026-04-08,2.978
510050.SH,2026-04-09,2.958
510050.SH,2026-04-10,2.972
